	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb06.3A7.270	0.122663717	0.115976952	0.109416094	0.113494045	0.114402928	0.108587839	0.103687461	0.103861753	0.10559325
Tb06.3A7.960	0.109470347	0.104026262	0.11293868	0.112514522	0.110645775	0.116458859	0.110993412	0.113232542	0.110790085
Tb07.11L3.100;Tb927.7.2150	0.114146955	0.113583506	0.12049489	0.113689285	0.110897098	0.105890198	0.107034874	0.103841143	0.11148257
Tb08.27P2.165;Tb10.v4.0174	0.105650309	0.107037788	0.110273843	0.111147879	0.10839082	0.114460476	0.113258438	0.11506949	0.115459861
Tb09.v4.0043	0.126747614	0.094118002	0.087477592	0.093874494	0.116104676	0.125229755	0.134230849	0.077814883	0.144402161
Tb09.v4.0067	0.110263304	0.118572835	0.111561257	0.108314256	0.110706921	0.11236199	0.109857504	0.108632568	0.113151229
Tb09.v4.0090	0.109890082	0.119060225	0.109775113	0.112169464	0.111008653	0.105311644	0.111656824	0.110331975	0.110796024
Tb09.v4.0106;Tb927.5.286b;Tb11.v5.0210;Tb927.9.15980	0.093469045	0.095236939	0.102218086	0.113763828	0.114251064	0.111536416	0.125493677	0.12520297	0.118827938
Tb09.v4.0108;Tb927.9.15930	0.0949223	0.10580917	0.120642869	0.123261139	0.118808638	0.111329839	0.113851059	0.107875223	0.103499745
Tb09.v4.0191	0.117903971	0.109634755	0.109442518	0.108025854	0.108431763	0.11388191	0.113299474	0.108560076	0.116575314
Tb10.v4.0039;Tb927.10.4490	0.122113222	0.103644024	0.108178811	0.10835273	0.114421208	0.109970034	0.111908996	0.116209697	0.10901438
Tb10.v4.0052;Tb927.10.10360;Tb10.v4.0053	0.11134298	0.109703573	0.108010667	0.10775645	0.105241723	0.112250568	0.110289161	0.114085706	0.118744019
Tb10.v4.0055	0.128861508	0.118088946	0.105525975	0.10475492	0.112887529	0.114247817	0.111499345	0.114491763	0.089642198
Tb10.v4.0133	0.103153668	0.091588508	0.088553962	0.101828383	0.114057002	0.122989025	0.140978285	0.119354516	0.11749663
Tb10.v4.0150	0.104462199	0.115855158	0.110497885	0.107382337	0.110097982	0.110457679	0.117762965	0.11321422	0.114656249
Tb10.v4.0173	0.108871191	0.107260668	0.115724882	0.102581693	0.110590525	0.106283692	0.108721624	0.119774831	0.120190889
Tb11.01.2730	0.109441984	0.115072371	0.116762291	0.117738596	0.107783203	0.118750643	0.111867549	0.104903186	0.103849092
Tb11.02.5070b;Tb927.11.7212	0.103116961	0.108458998	0.111273526	0.112836904	0.113283691	0.11441978	0.113813863	0.112404021	0.1145638
Tb11.02.5105b;Tb11.02.5105	0.096838427	0.102470133	0.105353179	0.110425161	0.114833094	0.114131891	0.117534872	0.117598054	0.118960809
Tb11.02.5370b;Tb11.02.5370	0.108777085	0.11403257	0.108736037	0.112926373	0.109941722	0.108280294	0.112293524	0.11277179	0.109169236
Tb11.02.5380b;Tb11.02.5380	0.111267289	0.111932828	0.111856421	0.110405845	0.114234092	0.111184791	0.105350644	0.111948358	0.108756841
Tb11.02.5390b;Tb11.02.5390	0.123424754	0.112267643	0.114678959	0.111641307	0.111241313	0.1084944	0.10411937	0.109164833	0.104972141
Tb11.02.5400b;Tb11.02.5400;REV__Tb11.02.5400b;REV__Tb11.02.5400	0.109086121	0.111914842	0.114120884	0.111547034	0.110304864	0.110969083	0.109882823	0.110386272	0.111273546
Tb11.02.5410b;Tb11.02.5410	0.113108655	0.104175454	0.109003616	0.110106473	0.108562268	0.114725844	0.112213773	0.111179212	0.116426104
Tb11.02.5420b;Tb11.02.5420	0.116897038	0.112631584	0.110997602	0.110630385	0.109147396	0.109213594	0.110182326	0.108410495	0.111619163
Tb11.0400;Tb927.11.7700;Tb11.0300	0.115135198	0.112468485	0.113622145	0.108986734	0.110852538	0.108241546	0.112820025	0.10642838	0.109822646
Tb11.0840;Tb927.11.720	0.11614424	0.114387856	0.113347219	0.111463483	0.108929551	0.109963752	0.108059617	0.112577107	0.109334617
Tb11.0870;Tb927.11.690	0.120550227	0.114326287	0.115799634	0.112308171	0.113431977	0.107825288	0.106611803	0.104024748	0.105121882
Tb11.1390;Tb927.11.1830	0.12108063	0.112685279	0.114324104	0.106279025	0.112175865	0.105807629	0.105234954	0.106617886	0.108048673
Tb11.1650;Tb10.v4.0225	0.11028081	0.10394423	0.109733639	0.106503846	0.1160688	0.112175737	0.12107112	0.113023166	0.117985324
Tb11.1780	0.107807691	0.113623293	0.111018976	0.110534875	0.11018432	0.111396035	0.113801644	0.110928493	0.110081636
Tb11.1790;Tb927.11.17840	0.11698288	0.108764129	0.110622293	0.109912041	0.111370514	0.111857776	0.109429223	0.109339655	0.113703225
Tb11.1810b;Tb11.1810;Tb11.v5.0839	0.126678561	0.111566949	0.118926091	0.11094545	0.115139123	0.109729767	0.095499438	0.109250442	0.095192347
Tb11.v5.0127;Tb11.0170	0.10864269	0.107240705	0.105904436	0.111913348	0.111412264	0.117838183	0.119452406	0.108577189	0.109018778
